Status,Stock Symbol,Stock Name,Market Cap,Sector,D/E,ICR,ROE,ROCE,P/E,EPS,EPS (Y-1),EPS (Y-2),Share Value,Share Value (Y-1),Share Value (Y-2),Profit,Profit (Y-1),Profit (Y-2),Revenue,Revenue (Y-1),Revenue (Y-2),Net NPA,Net NPA (Y-1),Net NPA (Y-2),Net NPA %,Net NPA % (Y-1),Net NPA % (Y-2),Assets,Assets (Y-1),Assets (Y-2),Promoter,Pledged,DII,FII
PROCESSED,JKPAPER,JK Paper,7197.06,Paper,0.86,11.04,16.78,14.45,10.07,30.17,18.68,27.64,424.85,257.45,99.05,511,322,492,4060,2811,3135,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7116,6034,4743,49.63,NOT_FOUND,5.86,3.43
PROCESSED,3MINDIA,3M India,26235.9,Diversified,0.00,114.59,10.69,14.27,83.36,236.28,132.53,194.38,23289.6,23477.0,20834.35,266,149,218,3113,2447,2806,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,3257,2916,2653,75,NOT_FOUND,6.38,4.13
PROCESSED,RTNINDIA,Rattanindia Enterprises,7256.92,Miscellaneous,0.17,30.09,5.96,6.16,148.87,0.31,0.00,0.00,52.55,50.75,9.5,42,0,0,50,1,1,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,848,677,677,74.8,NOT_FOUND,0.02,9.41
PROCESSED,DBL,Dilip Buildcon,3564.72,Real Estate,0.71,1.30,-1.98,7.23,-40.80,-5.91,23.35,31.07,243.75,522.1,404.9,-85,319,424,9040,9238,9015,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,11230,11225,11177,70.15,24.99,9.12,6.35
PROCESSED,JMFINANCIL,JM Financial,6277.56,Finance,0.00,64.11,8.77,10.84,19.65,3.44,1.88,1.51,65.75,92.2,83.15,327,175,127,619,374,303,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,4036,3790,2843,55.41,NOT_FOUND,8.79,21.13
PROCESSED,ABB,ABB India,60403.42,Capital Goods,0.00,66.95,12.84,15.08,0.00,24.53,10.34,14.32,2852.4,1761.3,961.85,532,230,302,7093,5927,7409,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,8072,7590,7700,75,NOT_FOUND,8.6,3.53
PROCESSED,REDINGTON,Redington (India),11612.57,Trading,0.00,158.58,36.68,42.74,12.10,11.98,6.77,12.58,148.6,164.55,59.88,935,263,489,27506,22791,19006,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,7867,5261,5713,NOT_FOUND,NOT_FOUND,16.51,38.74
PROCESSED,DIVISLAB,Divis Laboratories,98555.21,Healthcare,0.00,6134.95,25.21,30.29,39.63,111.07,73.63,51.71,3710.35,4910.45,3159.6,2948,1954,1372,8991,6861,5500,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,13307,10723,8514,51.94,NOT_FOUND,19.99,16.52
PROCESSED,JSWENERGY,JSW Energy,52617.23,Power,0.09,10.02,4.22,6.28,87.09,3.47,1.13,3.03,320.1,245.25,57.05,569,186,497,3871,2959,4511,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,16672,14716,13555,74.69,13.64,10.08,5.27
PROCESSED,ACC,ACC,43842.69,Construction Materials,0.00,58.67,12.79,17.47,0.00,96.93,75.35,72.36,2334.7,2356.3,1429.3,1820,1414,1358,16356,13988,15967,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,20919,18125,17082,54.53,NOT_FOUND,20.82,12.11
PROCESSED,RELAXO,Relaxo Footwears,25097.97,Footwear,0.01,28.67,13.21,16.96,113.93,9.36,11.74,9.12,1008.7,1210.15,647.45,232,291,226,2676,2381,2419,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2382,2175,1841,70.78,NOT_FOUND,7.06,3.15
PROCESSED,DIXON,Dixon Technologies,23629.96,Consumer Durables,0.27,9.33,16.36,18.40,168.12,25.63,26.14,96.88,3983.7,4099.35,1597.02,150,151,110,7487,5676,3680,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,NOT_SET,2725,2419,1421,34.3,NOT_FOUND,8.07,15.08
